encoder,speed
3.401219,0.063662
3.417707,0.998915
3.444453,3.721056
3.511656,7.140361
3.535917,8.072876
3.544358,4.900862
3.492882,0.876086
3.498435,-5.392018
3.373905,-10.109217
3.360856,-14.268489
3.269776,-17.534462
3.175724,-19.630604
3.002300,-20.507694
3.003055,-22.129044
2.908811,-23.045410
2.810732,-23.221954
2.713324,-23.061066
2.622916,-22.006935
2.463202,-21.022068
2.467025,-21.022068
2.322840,-19.115061
2.257358,-18.699795
2.190534,-17.405209
2.129175,-17.039249
2.063693,-16.992073
2.004060,-16.957226
1.915896,-18.081232
1.839926,-18.734480
1.755606,-19.337185
1.678091,-19.301434
1.601392,-19.766855
1.519995,-19.947214
1.438311,-19.631147
1.351690,-19.985767
1.303077,-18.262100
1.219048,-18.080956
1.169046,-17.573860
1.096280,-18.030340
1.009325,-18.814274
0.937483,-18.960825
0.855423,-19.691837
0.778099,-18.999830
0.699053,-19.586634
0.620507,-19.310234
0.538560,-19.825348
0.466671,-19.279600
0.394963,-18.343632
0.319403,-18.476667
0.263194,-17.782640
0.193302,-18.229027
0.115588,-18.677267
0.031593,-19.430969
6.224937,-19.282108
6.175337,-18.908253
6.071510,-19.562555
6.020117,-18.941479
5.917250,-19.454933
5.864514,-18.939260
5.792417,-18.391943
5.690892,-17.933313
5.685992,-17.569141
5.564913,-18.169157
5.523875,-18.593138
5.416117,-19.263405
5.362327,-19.073767
5.258213,-19.146004
5.211230,-19.209343
5.105103,-18.812517
5.060325,-19.486006
4.978257,-18.484465
4.877977,-18.335089
4.838473,-17.626474
4.772511,-18.035425
4.705879,-18.251980
4.606846,-18.554440
4.562164,-19.713556
4.440314,-19.336603
4.398220,-19.781481
4.283560,-19.369484
4.209450,-19.836758
4.155564,-19.542479
4.080207,-19.032486
3.988334,-19.171097
3.931315,-17.856758
3.869572,-18.277180
3.785110,-18.460102
3.718573,-19.155140
3.633342,-19.877029
3.548206,-19.719042
3.454635,-20.233967
3.399695,-19.460550
3.298744,-20.140718
3.224632,-19.574123
3.150521,-19.532345
3.088297,-18.636248
3.021568,-17.796053
2.939790,-18.313446
2.886099,-18.165396
2.808443,-18.952118
2.721773,-19.472742
2.625806,-19.624729
2.558788,-19.532326
2.498577,-19.173016
2.394846,-19.778351
2.339426,-18.948582
2.254101,-19.150379
2.190918,-18.330332
2.109523,-17.944777
2.054681,-17.730141
1.997764,-17.590591
1.910059,-18.588646
1.830243,-18.751436
1.757762,-19.241226
1.673681,-18.929951
1.600433,-19.318663
1.520187,-19.488476
1.439653,-19.206367
1.362571,-19.603733
1.297853,-18.180309
1.220677,-18.227575
1.169717,-17.931353
1.097047,-18.414631
1.009612,-19.096441
0.936572,-19.235899
0.849216,-19.825447
0.780472,-19.028484
0.698381,-19.586365
0.620987,-19.296547
0.538176,-19.675453
0.464430,-19.292721
0.397815,-18.262707
0.321513,-18.513275
0.266681,-17.975016
0.193620,-18.328108
0.113290,-18.881771
0.031234,-19.446413
6.226700,-19.389086
6.174666,-18.878454
6.070839,-19.619951
6.019830,-18.901325
5.915428,-19.374130
5.863747,-18.771885
5.793376,-18.377768
5.690604,-17.866573
5.685992,-17.647190
5.565872,-18.366732
5.522532,-18.675907
5.416213,-19.471285
5.360889,-19.132208
5.256487,-19.321371
5.209504,-19.054499
5.106349,-18.846256
5.060708,-19.387503
4.978544,-18.590261
4.878170,-18.397186
4.837418,-17.510849
4.771649,-17.912115
4.708660,-18.224588
4.607805,-18.592897
4.561014,-19.910900
4.438108,-19.326077
4.398124,-19.871046
4.281547,-19.470272
4.240220,-19.775236
4.125176,-19.639612
4.079248,-19.008633
3.988478,-19.060837
3.932753,-17.854877
3.869860,-18.289278
3.787411,-18.421860
3.718190,-19.423782
3.632479,-19.811432
3.548301,-19.645147
3.453964,-20.226177
3.383686,-19.538380
3.311206,-20.147636
3.225303,-19.593685
3.148316,-19.441710
3.088201,-18.566442
3.020993,-17.809097
2.938448,-18.183908
2.886961,-18.016291
2.806622,-19.007664
2.721006,-19.353416
2.625998,-19.426750
2.577769,-19.266201
2.485924,-18.962347
2.397722,-19.548553
2.343549,-19.066429
2.255347,-19.298216
2.193410,-18.354244
2.111824,-17.943756
2.057462,-17.760117
1.998914,-17.766443
1.909580,-18.833555
1.832160,-18.718647
1.757283,-19.255173
1.684274,-18.889177
1.594059,-19.283257
1.522584,-19.273993
1.441858,-19.230217
1.364105,-19.528811
1.299675,-18.219698
1.223170,-18.210215
1.171634,-17.794155
1.098485,-18.346069
1.017808,-18.949306
0.937867,-19.204525
0.851900,-19.854618
0.781718,-19.001816
0.701258,-19.638464
0.623000,-19.423708
0.541628,-19.845682
0.467678,-19.340221
0.399025,-18.512165
0.322759,-18.593008
0.266166,-17.987314
0.195124,-18.503025
0.116547,-18.933823
0.032072,-19.524792
6.223797,-19.476742
6.176967,-18.839016
6.073236,-19.654083
6.022035,-19.072214
5.915907,-19.564314
5.865760,-18.871523
5.793855,-18.500120
5.723484,-17.830515
5.656660,-17.582993
5.567598,-18.406326
5.524833,-18.538218
5.417939,-19.255060
5.366162,-18.996920
5.260130,-19.061153
5.214298,-18.959267
5.107979,-18.994558
5.062242,-19.470654
4.979503,-18.531904
4.881045,-18.390774
4.839911,-17.776344
4.773375,-17.803530
4.710481,-18.227400
4.611544,-18.802870
4.562260,-20.007210
4.442039,-19.490170
4.399562,-19.789944
4.285286,-19.596502
4.242330,-19.974403
4.125176,-19.799494
4.080207,-19.063816
4.070130,-18.949059
3.931698,-17.757530
3.869572,-18.188866
3.805049,-18.382477
3.797465,-19.282789
3.634492,-19.850018
3.549644,-19.593933
3.457128,-20.388414
3.400558,-19.681488
3.394795,-20.486076
3.223481,-19.979851
3.147645,-19.604462
3.149934,-18.682133
3.080904,-17.873821
2.937585,-18.459839
2.885811,-18.194748
2.882925,-19.314293
2.796351,-19.299088
2.719269,-19.655312
2.558117,-19.419094
2.498673,-19.018841
2.488884,-19.886246
2.400201,-19.002014
2.250554,-19.194458
2.251884,-18.273872
2.121601,-17.991863
2.054777,-17.822309
1.997140,-17.598259
1.995230,-17.598259
1.834796,-18.722540
1.835216,-18.722540
1.678617,-18.863087
1.601488,-19.176893
1.521146,-19.461582
1.439366,-19.235985
1.363146,-19.816792
1.297853,-18.278427
1.221349,-18.240158
1.170867,-17.846355
1.095321,-18.178936
1.009612,-18.914310
0.940622,-18.999456
0.851708,-19.651911
0.782581,-18.937597
0.701162,-19.515743
0.621946,-19.403332
0.539998,-19.717972
0.463052,-19.411421
0.397623,-18.443840
0.323562,-18.469362
0.263926,-17.783379
0.194069,-18.179234
0.115435,-18.876968
0.031741,-19.374369
6.242775,-19.562630
6.175241,-18.875509
6.070935,-19.558168
6.019830,-18.946949
5.914373,-19.480648
5.864419,-18.950914
5.792513,-18.604580
5.690796,-17.839167
5.686471,-17.439447
5.564242,-18.219767
5.522244,-18.479803
5.416213,-19.083689
5.363286,-18.963789
5.258501,-19.021612
5.212093,-19.122999
5.106541,-18.797232
5.060996,-19.527330
4.978832,-18.450529
4.879032,-18.342844
4.839240,-17.505468
4.772991,-17.957747
4.708468,-18.205315
4.609052,-18.424717
4.561398,-19.824934
4.441752,-19.436977
4.397837,-19.870329
4.282601,-19.586800
4.208970,-19.876480
4.154222,-19.716152
4.077714,-18.957245
3.987231,-19.033890
3.930644,-17.814478
3.869189,-18.127094
3.786260,-18.387897
3.717710,-19.062439
3.630369,-19.922859
3.549068,-19.502762
3.455977,-20.158558
3.400941,-19.618076
3.297786,-20.281284
3.225782,-19.786701
3.149946,-19.659992
3.088105,-18.759441
3.020034,-17.830593
2.940366,-18.527868
2.884852,-18.288521
2.807197,-19.158745
2.719952,-19.557213
2.625231,-19.601982
2.559363,-19.406933
2.499152,-19.022995
2.394942,-19.832434
2.338755,-19.044966
2.253622,-19.309719
2.190439,-18.320845
2.109811,-18.071491
2.117085,-17.785320
1.997092,-17.621693
1.906895,-18.673029
1.830818,-18.718773
1.756804,-19.270576
1.673873,-18.826345
1.600721,-19.340961
1.521242,-19.575371
1.439557,-19.138851
1.364200,-19.536379
1.298908,-18.210918
1.221732,-18.304064
1.169621,-17.998043
1.097047,-18.287825
1.008845,-18.902515
0.937147,-19.059708
0.850749,-19.755184
0.780759,-18.994028
0.702959,-19.638954
0.617656,-19.360638
0.538272,-19.749426
0.466671,-19.258068
0.397396,-18.522108
0.321321,-18.601017
0.265819,-18.096024
0.191762,-18.297426
0.112475,-18.881111
0.029872,-19.519064
6.226839,-19.375666
6.174474,-18.856827
6.069880,-19.549265
6.018392,-18.835108
5.914948,-19.356773
5.864130,-18.749809
5.793568,-18.333193
5.691946,-17.757484
5.686951,-17.466408
5.566447,-18.409409
5.522437,-18.586554
5.416405,-19.312428
5.363094,-19.106733
5.257350,-19.211576
5.210655,-18.990160
5.105582,-18.889645
5.059750,-19.284521
4.979503,-18.505138
4.879511,-18.473003
4.837897,-17.827404
4.771361,-18.045948
4.707413,-18.268375
4.607614,-18.551062
4.560726,-19.967804
4.438108,-19.209322
4.397741,-19.732178
4.282218,-19.408472
4.208012,-20.001705
4.154126,-19.458122
4.078960,-18.990229
3.987375,-18.914101
3.932369,-17.704685
3.869476,-18.156693
3.802748,-18.391338
3.703236,-19.255058
3.633437,-19.812405
3.547630,-19.622223
3.455019,-20.123425
3.400174,-19.493496
3.297594,-20.163391
3.223960,-19.664543
3.149562,-19.468647
3.087530,-18.605001
3.020993,-17.587366
2.940462,-18.183998
2.888975,-18.058136
2.808156,-19.138443
2.722445,-19.326992
2.643157,-19.596539
2.562527,-19.460175
2.484486,-19.048126
2.396764,-19.887812
2.341344,-19.068821
2.255347,-19.362316
2.190918,-18.160875
2.110482,-17.970066
2.057270,-17.667027
1.999633,-17.572792
1.911593,-18.875040
1.840740,-18.815474
1.750717,-19.172842
1.683986,-18.953316
1.603310,-19.328808
1.516401,-19.520679
1.443392,-19.287054
1.365255,-19.673450
1.300346,-18.239054
1.229545,-18.142603
1.165068,-17.865761
1.099444,-18.329473
1.011530,-18.985399
0.940958,-19.184422
0.851708,-19.861496
0.781526,-18.916964
0.702121,-19.590694
0.622329,-19.368238
0.540957,-19.756073
0.464910,-19.371178
0.400212,-18.303225
0.322951,-18.604841
0.265975,-17.989706
0.195219,-18.466301
0.118059,-18.824566
0.032011,-19.546078
6.248340,-19.342659
6.176104,-18.911104
6.073907,-19.417814
6.023664,-18.858095
5.917921,-19.398333
5.865281,-18.816778
5.795102,-18.431868
5.723772,-17.746286
5.657619,-17.482918
5.567406,-18.294123
5.526463,-18.320751
5.419377,-19.469646
5.364340,-19.185234
5.258405,-19.204832
5.213531,-19.054100
5.107979,-18.907030
5.062338,-19.456049
4.978448,-18.499352
4.880662,-18.301924
4.839623,-17.562168
4.773566,-17.792873
4.710577,-18.160219
4.641452,-18.666904
4.531586,-19.995413
4.439930,-19.330133
4.399371,-19.764290
4.379323,-19.437664
4.242521,-19.924795
4.125944,-19.507353
4.081741,-18.941711
3.988430,-18.858604
3.996308,-17.691727
3.871202,-18.164970
3.804666,-18.379715
3.704003,-19.272482
3.635930,-19.891523
3.550890,-19.673260
3.457511,-20.354441
3.465071,-20.354441
3.311589,-20.394554
3.224440,-19.846128
3.147645,-19.539196
3.150797,-18.621891
3.018980,-17.883308
2.937777,-18.444777
2.886194,-18.103340
2.883884,-19.149303
2.797597,-19.437408
2.718406,-19.538204
2.636817,-19.552229
2.496947,-19.081760
2.395805,-19.935272
2.400584,-19.113314
2.251704,-19.300407
2.173663,-18.178581
2.186594,-17.903152
2.053339,-17.791115
1.997332,-17.588070
1.907662,-18.861267
1.908080,-18.752642
1.754694,-19.088495
1.754395,-19.088495
1.598037,-19.188362
1.522009,-19.472797
1.441283,-19.100929
1.441942,-19.580238
1.302694,-18.103203
1.221349,-18.033895
1.170771,-17.837404
1.095896,-18.166553
1.009133,-18.772903
0.937339,-18.969555
0.854656,-19.798046
0.782485,-19.208740
0.700203,-19.757277
0.618039,-19.493231
0.538464,-19.704605
0.465904,-19.313843
0.394771,-18.454718
0.322219,-18.560896
0.263866,-17.808317
0.194117,-18.132986
0.115091,-18.699690
0.031693,-19.090958
6.249481,-19.233725
6.176200,-18.759277
6.071414,-19.327999
6.021268,-18.874512
5.917154,-19.583132
5.863939,-18.977047
